Town,Ward,Precinct,dem_2014gov,dem_2014sen,dem_2012sen,q1_2008_yes,q2_2008_yes,q3_2008_yes,q1_2010_yes,q2_2010_yes,demgov2010,pres2008_obama,q2_2012_yes,q3_2012_yes,q1_2014_yes,q2_2014_yes,q3_2014_yes,q4_2014_yes,dem2013_lynch,rep2016_trump,dem2016_bernie,vote2012,vote2014,rep2016_vote,Population,White,Black,Hispanic,Asian,Income,Education,White_Education,dem_2016pres,dem_2012pres,Minority,White_College,White_NoCollege,rep_2012pres,rep_2016pres,vote2016,turnout_chg,stein_2016pres,johnson_2016pres,legalweed,shift16_rep,Bernie_Votes,charterschools,weed_trumpfiterr,k_clusters,k_8clusters,Predict_2016,shift16_dem,Predict_2016_err,stein_johnson,margin16,margin12,shift_margin,Predict_no3rdparty_err,Predict_no3rdparty_noed_err,k_means_pca,pca1,pca2,pca3,shp_match
Abington,-,1,0.386734693877551,0.533592989289192,0.422435897435897,0.334885409902503,0.654019906967061,0.373763342807549,0.635465801008682,0.545543678818567,0.404699956848017,0.521505714832875,0.462308205470314,0.62982689747004,0.678127984718243,0.149763033175355,0.272037914691943,0.578796561604584,0.760617760617761,0.569007263922518,0.570212765957447,1571,1068,413,3295,0.916236722306525,0.0251896813353566,0.0169954476479514,0.014567526555387,93,0,27,0.484884410195614,0.538952745849298,0.0837632776934749,0.247383915022762,0.668852807283763,0.448758752387015,0.425014819205691,1709,0.0878421387651178,0.014819205690575,0.0574985180794309,0.568697729988053,-0.0237439331813241,0.306339640017877,0.366767371601208,0.0658363308067036,1,4,0.476532384986093,-0.054068335653684,-0.00835202520952094,0.0723177237700059,0.0598695909899229,0.0901939934622829,-0.03032440247236,-0.0355483499853678,0.0278639766094641,4,-0.26945084383946,0.00198063620505057,0.082337342306834,186
Abington,-,2,0.39450441609421,0.538681948424069,0.404114134041141,0.338761297988817,0.652562107774705,0.367772713676298,0.624775870142961,0.494535745531933,0.416535763369514,0.508324967792192,0.450407608695652,0.626021798365123,0.651685393258427,0.156771799628942,0.300185873605948,0.569561157796452,0.769736842105263,0.628361858190709,0.563409563409563,1520,1086,409,3121,0.919897468760013,0.00833066324895867,0.0163409163729574,0.0128164049983979,74,0,28,0.453374233128834,0.490416391275611,0.0801025312399872,0.257571291252804,0.662326177507209,0.4875,0.48159509202454,1671,0.0993421052631578,0.0165644171779141,0.0411042944785276,0.545399515738499,-0.00590490797546012,0.275032826348616,0.320606060606061,0.0412910204445329,1,4,0.442180058481717,-0.037042158146777,-0.0111941746471169,0.0576687116564417,-0.0282208588957055,0.00291639127561139,-0.0311372501713169,-0.00616881041183985,-0.0054568450313425,4,-0.319952056790309,-0.00737848072610942,0.118194369725003,187
Abington,-,3,0.38552036199095,0.516964285714286,0.393772893772894,0.337248075318759,0.616643565323342,0.356777286056509,0.665397158962638,0.501471861387243,0.385860904160438,0.498781199724321,0.478097622027534,0.617647058823529,0.626306620209059,0.122289679098005,0.714657415437988,0.525719267654752,0.792114695340502,0.595936794582393,0.509328358208955,1648,1172,443,3068,0.929595827900913,0.00945241199478488,0.0185788787483703,0.0146675358539765,67,0,31,0.456855791962175,0.496345919610231,0.0704041720990873,0.288174706649283,0.64142112125163,0.486043689320388,0.477541371158392,1726,0.0473300970873787,0.0106382978723404,0.0472813238770686,0.524397413286302,-0.00850231816199587,0.251882652876395,0.329988193624557,0.0204217058502373,1,4,0.455707561533035,-0.0394901276480565,-0.00114823042914003,0.057919621749409,-0.0206855791962175,0.0103022302898431,-0.0309878094860606,0.0100834397932747,-0.0006363313932089,4,-0.325280652048608,-0.00565388312467644,0.056202013561886,188
Abington,-,4,0.366479550922213,0.5296,0.393939393939394,0.33055197407334,0.616785898689573,0.370395968244443,0.633195992789493,0.510073608547415,0.390543218953651,0.501231620855284,0.419612314709236,0.603634298693924,0.669833729216152,0.118012422360248,0.2859375,0.563380281690141,0.758064516129032,0.56687898089172,0.488117001828154,1830,1304,471,3164,0.910556257901391,0.0293931731984829,0.0195954487989886,0.0202275600505689,100,0,31,0.465498938428875,0.492602739726027,0.0894437420986094,0.282272439949431,0.62828381795196,0.493989071038251,0.466029723991507,1919,0.0486338797814208,0.00849256900212314,0.0461783439490446,0.491255961844197,-0.0279593470467439,0.239790811280607,0.343649946638207,-0.0120128250441709,1,4,0.455696637333634,-0.0271038012971527,-0.00980230109524077,0.0546709129511677,-0.000530785562632696,-0.00138633131222393,0.000855545749591236,-0.0133675991007011,0.0047499143511247,4,-0.326799916003969,-0.0481264253190378,0.00399758703788535,189
Abington,-,5,0.36356141797197,0.525020508613618,0.388415672913118,0.330968787618165,0.621224995362108,0.371774865527673,0.623050703506313,0.499689428926068,0.397325501707525,0.50005635932838,0.452885747938751,0.574041297935103,0.65107057890563,0.127760252365931,0.265873015873016,0.547275641025641,0.768802228412256,0.559360730593607,0.524451939291737,1774,1283,438,3337,0.897213065627809,0.0245729697332934,0.0251723104584957,0.0254719808210968,101,0,30,0.488434642280796,0.477105709440362,0.102786934372191,0.269163919688343,0.628049145939467,0.512965050732807,0.445938676707907,1887,0.0636978579481398,0.00860677783754707,0.0462614308768155,0.510422234099412,-0.0670263740248997,0.249513774950522,0.339764201500536,0.00776330149275894,1,4,0.442422137366796,0.0113289328404343,-0.0460125049140002,0.0548682087143626,0.0424959655728886,-0.0358593412924454,0.078355306865334,-0.0849962179264526,0.0020020505824213,4,-0.313622342646953,0.00626820844347883,0.00683616223932713,190
Acton,-,1,0.541385135135135,0.690140845070423,0.600872410032715,0.340956340956341,0.667185877466251,0.682340647857889,0.389920424403183,0.444982698961938,0.617706237424547,0.67753259779338,0.615942028985507,0.641456582633053,0.491568296795953,0.405250205086136,0.524979524979525,0.657590759075908,0.106227106227106,0.304225352112676,0.437984496124031,1845,1244,355,3809,0.621685481753741,0.0191651352060908,0.0283538986610659,0.308742452087162,107,0,65,0.712750366389839,0.668481219379423,0.378314518246259,0.404095563139932,0.217589918613809,0.315989159891599,0.213971665852467,2084,0.129539295392954,0.0146555935515388,0.0434782608695652,0.47265625,-0.102017494039132,0.29151488414109,0.429622363903874,-0.0875799952639751,6,6,0.713918728932888,0.0442691470104158,0.00116836254304897,0.0581338544211041,0.498778700537372,0.352492059487824,0.146286641049548,-0.00836209275679517,0.00102366402906667,7,0.182216970096817,0.145964853388141,-0.159932496492259,191
Acton,-,2,0.483038348082596,0.626984126984127,0.532520325203252,0.292953412784399,0.671345187714635,0.654956704178166,0.437089569324043,0.516774116309666,0.565944785835126,0.665842055634135,0.57736240913811,0.621536853110298,0.488776249094859,0.361051883439943,0.498930862437634,0.607604017216643,0.188612099644128,0.228235294117647,0.447272727272727,1978,1426,425,3500,0.770571428571429,0.0148571428571429,0.0257142857142857,0.166857142857143,126,0,77,0.706150341685649,0.616008105369808,0.229428571428571,0.59334,0.177231428571429,0.365015166835187,0.218678815489749,2228,0.12639029322548,0.0118451025056948,0.0437357630979499,0.484346224677716,-0.146336351345438,0.274966449122162,0.458008260670032,-0.0732090607299394,6,6,0.705422327823321,0.0901422363158416,-0.000728013862328014,0.0555808656036446,0.4874715261959,0.250992938534621,0.236478587661279,-0.00488965444176265,-0.0043673922115736,7,0.133828606647268,0.179759429410773,-0.239324812621644,192
Acton,-,3,0.553766902768835,0.660163624921334,0.588925387142187,0.285303973192915,0.695548109143131,0.647934678194044,0.435626102292769,0.481640146878825,0.611515151515152,0.668544600938967,0.588009592326139,0.657553956834532,0.456019962570181,0.446153846153846,0.576208178438662,0.648228713486638,0.133182844243792,0.275395033860045,0.487660414610069,2143,1640,443,3536,0.829185520361991,0.00113122171945701,0.020079185520362,0.130938914027149,145,0,73,0.71622846781505,0.645433255269321,0.170814479638009,0.605305429864254,0.223880090497738,0.326178254783014,0.197189483227561,2235,0.0429304713019132,0.0199456029011786,0.0407978241160471,0.539783001808318,-0.128988771555453,0.313577252138439,0.387214611872146,-0.028736368702495,6,3,0.716839384634406,0.0707952125457291,0.000610916819355656,0.0607434270172258,0.519038984587489,0.319255000486306,0.199783984101182,-0.00715587852666377,-0.00086611315005107,7,0.209118336719804,0.201485769581819,-0.12633603237154,194
Acton,-,4,0.582352941176471,0.708812260536398,0.610304449648712,0.267303969226852,0.684329094846287,0.666126298159826,0.440283204826326,0.513726853418795,0.611125581057551,0.701585768116858,0.612872238232469,0.67275348390197,0.464652956298201,0.448557089084065,0.538022813688213,0.672991777356104,0.173697270471464,0.329081632653061,0.488845780795344,2149,1611,392,3801,0.790318337279663,0.00552486187845304,0.0192054722441463,0.159957905814259,130,0,73,0.730165649520488,0.682221185254316,0.209681662720337,0.576932386214154,0.213385951065509,0.295951605397859,0.180470793374019,2312,0.0758492322010238,0.0196163905841325,0.045335658238884,0.563932980599647,-0.11548081202384,0.33256981457552,0.383102369244524,-0.0134393058129488,6,3,0.744719486161705,0.0479444642661718,0.0145538366412163,0.0649520488230166,0.549694856146469,0.386269579856457,0.163425276290012,0.0102571254692446,0.00964610255820862,7,0.234115036215663,0.175676006838352,-0.0730716187427551,195
Acton,-,5,0.587988826815642,0.717136958017894,0.619766309639727,0.278201906181338,0.698590572206157,0.6833566305213,0.424138385487433,0.45928067452397,0.644108444480823,0.707839554577482,0.59613478691774,0.656031904287139,0.466666666666667,0.419959812458138,0.519515477792732,0.671621621621622,0.162534435261708,0.240223463687151,0.475247524752475,2071,1506,358,3775,0.729801324503311,0.0132450331125828,0.0227814569536424,0.215629139072848,138,0,76,0.741435945565462,0.704798836645662,0.270198675496689,0.554649006622517,0.175152317880795,0.272815065185901,0.18160488033787,2167,0.0463544181554805,0.015485687470671,0.0445800093852651,0.543366150961088,-0.091210184848031,0.333660019792419,0.397058823529412,-0.0342867364143122,6,3,0.769793908878225,0.0366371089198005,0.0283579633127625,0.0600656968559362,0.559831065227593,0.431983771459761,0.127847293767831,0.0482783625407209,-0.00121598398882379,7,0.255118341697718,0.169704513896573,-0.12965069138469,196
